model_name,target,features,n,R2,MAE,RMSE,intercept,RSS,AIC,BIC,coef_beta,coef_beta_x_Z,coef_beta_x_CN,coef_beta_x_radius,coef_Z,coef_CN,coef_ionic_radius
M11_full_interaction_radius,beta0,beta + beta_x_Z + beta_x_CN + beta_x_radius + Z + CN + ionic_radius,91,0.9945420517844875,0.022893395630656833,0.02942539412380932,0.016783321775669435,0.0787926975600776,-625.713296177292,-605.6264201251572,-1.4838221223751087,0.05655599517245242,-0.010096302687909623,-0.7886479205932913,0.05840238140586364,-0.017042353147960453,0.14222991225005213
M12_simplified_radius_dominant,beta0,beta + beta_x_radius + ionic_radius,91,0.9919209526947431,0.028152997270145974,0.0358003818278844,0.05189891011062242,0.11663172785103072,-598.0230030489173,-587.9795650228499,-1.3952338852753141,,,-0.976514545931037,,,0.008615216861362688
