target,features,n,R2,MAE,RMSE,intercept,RSS,AIC,BIC,coef_beta,model_name,coef_Z,coef_CN,coef_Z_over_CN
beta0,beta + Z + CN + Z_over_CN,91,0.7869049195184996,0.1406174189877021,0.18386298007523258,1.073693690110959,3.076309185235229,-298.2287339557541,-285.6744364231698,-0.7927124010126562,M6_beta_Z_CN_ZoverCN,0.2740822658357218,-0.03724835933786814,0.052791664914168986
beta0,beta + Z + CN,91,0.7860705988882978,0.1410276556483704,0.18422256327105424,1.101184782037944,3.08835370645234,-299.8731418188657,-289.8297037927983,-0.7836682458645303,M4_beta_Z_CN,0.28870994419571117,-0.041075671945262855,
beta0,beta + Z_over_CN,91,0.7343428658444189,0.16604229088403216,0.20529025053518635,0.8305443152626141,3.8351119137967613,-282.16614098161347,-274.6335624620629,-1.27622682809671,M5_beta_Z_over_CN,,,0.26350613097448966
beta0,beta + Z,91,0.7263299860270317,0.16441702716365453,0.20836328235552412,0.6856592420956213,3.950788426491076,-279.46193547492226,-271.9293569553717,-1.2889104995448877,M2_beta_Z,0.1564544690773847,,
beta0,beta + CN,91,0.7188631641626047,0.16919228987711718,0.2111866491466692,1.0222344817296443,4.058581870779651,-277.01235570167586,-269.4797771821253,-1.3135946481865228,M3_beta_CN,,-0.0199074568795467,
beta0,beta,91,0.7004943287597047,0.17408223685679472,0.21797671748546224,0.7815592748733228,4.323760292282069,-273.25279808080995,-268.23107906777625,-1.4801235877482128,M1_beta_only,,,
