element,CN,method,beta,beta0,n_points,Z,group,Z_over_CN,Z_times_CN,beta_x_Z,beta_x_CN,ionic_radius,radius_cn_used,radius_match_type,beta0_over_beta,beta_x_radius,ratio_pred,ratio_resid
Ba,1.0,Huber,-0.9064240910670625,2.5072325791522365,18,2,Group2,2.0,2.0,-1.812848182134125,-0.9064240910670625,1.35,6,nearest,-2.7660701032346426,-1.2236725229405343,-2.8223887493730504,0.05631864613840776
Ba,2.0,Huber,-0.9010926861637542,2.4864004313095323,27,2,Group2,1.0,4.0,-1.8021853723275083,-1.8021853723275083,1.35,6,nearest,-2.7593170708053916,-1.2164751263210682,-2.8223887493730504,0.06307167856765883
Ba,3.0,Huber,-0.7733797636505176,2.189089575589954,32,2,Group2,0.6666666666666666,6.0,-1.5467595273010353,-2.320139290951553,1.35,6,nearest,-2.8305493348532726,-1.044062680928199,-2.8223887493730504,-0.008160585480222249
Ba,4.0,Huber,-0.8170113803767188,2.3205445032691694,42,2,Group2,0.5,8.0,-1.6340227607534377,-3.2680455215068753,1.35,6,nearest,-2.840284185759054,-1.1029653635085706,-2.8223887493730504,-0.01789543638600355
Ba,5.0,Huber,-0.7877989111088018,2.2399408450621485,38,2,Group2,0.4,10.0,-1.5755978222176037,-3.938994555544009,1.35,6,nearest,-2.8432901004007523,-1.0635285299968826,-2.8223887493730504,-0.020901351027701853
Ba,6.0,Huber,-0.7256000856636949,2.0825442493765296,236,2,Group2,0.3333333333333333,12.0,-1.4512001713273899,-4.35360051398217,1.35,6,exact,-2.870099233066737,-0.9795601156459882,-2.8223887493730504,-0.0477104836936868
Ba,7.0,Huber,-0.763872967093139,2.188587920592469,162,2,Group2,0.2857142857142857,14.0,-1.527745934186278,-5.347110769651973,1.38,7,exact,-2.8651202685192216,-1.0541446945885318,-2.8535581540551225,-0.01156211446409916
Ba,8.0,Huber,-0.711086918734388,2.061623100534086,418,2,Group2,0.25,16.0,-1.422173837468776,-5.688695349875104,1.42,8,exact,-2.8992561193551687,-1.009743424602831,-2.8951173602978852,-0.004138759057283448
Ba,9.0,Huber,-0.6688866990607667,1.952484386539454,488,2,Group2,0.2222222222222222,18.0,-1.3377733981215334,-6.019980291546901,1.47,9,exact,-2.91900614750014,-0.983263447619327,-2.9470663681013387,0.028060220601198615
Ba,10.0,Huber,-0.6122946369455636,1.8100569716614208,468,2,Group2,0.2,20.0,-1.2245892738911273,-6.1229463694556365,1.52,10,exact,-2.9561862254598594,-0.9306878481572567,-2.999015375904792,0.04282915044493274
Ba,11.0,Huber,-0.6079910954970416,1.815985560763347,124,2,Group2,0.18181818181818182,22.0,-1.2159821909940831,-6.687902050467457,1.57,11,exact,-2.9868621007989473,-0.9545460199303553,-3.0509643837082456,0.06410228290929831
Ba,12.0,Huber,-0.5587190964864086,1.6746936397703092,644,2,Group2,0.16666666666666666,24.0,-1.1174381929728172,-6.704629157836903,1.61,12,exact,-2.997380347838259,-0.8995377453431179,-3.0925235899510084,0.0951432421127496
Ba,13.0,Huber,-0.5843575652696971,1.7495564219254789,10,2,Group2,0.15384615384615385,26.0,-1.1687151305393941,-7.596648348506061,1.61,12,nearest,-2.9939826673040684,-0.9408156800842123,-3.0925235899510084,0.09854092264694003
Be,3.0,Huber,-1.851441892374565,2.961343252717095,17,2,Group2,0.6666666666666666,6.0,-3.70288378474913,-5.554325677123695,0.16,3,exact,-1.5994794462163904,-0.2962307027799304,-1.586002363650858,-0.013477082565532372
Be,4.0,Huber,-1.4358473529114495,2.3600056659838775,126,2,Group2,0.5,8.0,-2.871694705822899,-5.743389411645798,0.27,4,exact,-1.6436327031550562,-0.3876787852860914,-1.7002901808184556,0.05665747766339946
Ca,3.0,Huber,-0.8357643845318654,2.0592457755232663,10,2,Group2,0.6666666666666666,6.0,-1.6715287690637308,-2.5072931535955965,1.0,6,nearest,-2.4639070695465284,-0.8357643845318654,-2.458745694748876,-0.005161374797652218
Ca,4.0,Huber,-0.8951264613725521,2.196692036607713,44,2,Group2,0.5,8.0,-1.7902529227451043,-3.5805058454902086,1.0,6,nearest,-2.4540577576484455,-0.8951264613725521,-2.458745694748876,0.004687937100430695
Ca,5.0,Huber,-0.9149520697058668,2.223227817724169,79,2,Group2,0.4,10.0,-1.8299041394117337,-4.574760348529335,1.0,6,nearest,-2.429884462077755,-0.9149520697058668,-2.458745694748876,0.028861232671121062
Ca,6.0,Huber,-0.8727080597154062,2.085798699846728,738,2,Group2,0.3333333333333333,12.0,-1.7454161194308124,-5.236248358292437,1.0,6,exact,-2.39003029320815,-0.8727080597154062,-2.458745694748876,0.06871540154072608
Ca,7.0,Huber,-0.8107965085263504,2.0099266726367593,372,2,Group2,0.2857142857142857,14.0,-1.6215930170527009,-5.675575559684453,1.06,7,exact,-2.478953290375988,-0.8594442990379315,-2.5210845041130203,0.042131213737032436
