model_name,C1_formula,C2_formula
M11_full_interaction_radius,-1.48382212 + (0.05655600)*Z + (-0.01009630)*CN + (-0.78864792)*r,0.01678332 + (0.05840238)*Z + (-0.01704235)*CN + (0.14222991)*r
M12_simplified_radius_dominant,-1.39523389 + (-0.97651455)*r,0.05189891 + (0.00861522)*r
