target,features,n,R2,MAE,RMSE,intercept,RSS,AIC,BIC,coef_beta,model_name,coef_Z,coef_CN,coef_Z_over_CN,coef_ionic_radius
beta0,beta + Z + CN + Z_over_CN + ionic_radius,37,0.992957022624144,0.10929823012650322,0.15037186342935363,-0.3392151883841632,0.8366328005149987,-128.20365327901962,-118.53814580315426,-1.8558198774024095,M10_beta_Z_CN_ZoverCN_radius,0.07203312535891436,-0.10270302718110044,-0.1676847098514765,1.736275218180474
beta0,beta + Z + CN + ionic_radius,37,0.9927423949016783,0.11184665897535953,0.15264588520860184,-0.42124752904909935,0.8621283520313529,-129.0929541758164,-121.03836461259527,-1.8601950887178622,M9_beta_Z_CN_radius,0.034957127696640625,-0.08066686784262539,,1.6800809482770527
beta0,beta + ionic_radius,37,0.9859479015071478,0.1750699031726484,0.21240220821185543,-0.3074798806023509,1.6692438279710782,-108.64624589611434,-103.81349215818166,-1.8757036049202274,M8_beta_radius,,,,1.035530713294253
beta0,beta + Z + CN + Z_over_CN,37,0.9790379376747366,0.18096861756190288,0.2594211850595309,0.12756153313273,2.4900759965345807,-89.84837323165925,-81.79378366843812,-1.7784444430903532,M6_beta_Z_CN_ZoverCN,0.07897312585240275,0.014442215308757375,0.18427406601571925,
beta0,beta + Z + CN,37,0.9787598514094522,0.18068897737571235,0.2611362782869355,0.24209141356767416,2.523109765989417,-91.36075229831818,-84.91708064774127,-1.7703333946684698,M4_beta_Z_CN,0.12295147246751016,-0.007068825041941302,,
beta0,beta + Z,37,0.9786853988964075,0.1820285226653742,0.2615935548516286,0.1789699081623004,2.531953953776745,-93.23128398687419,-88.39853024894151,-1.7779730447547302,M2_beta_Z,0.12608717341295922,,,
beta0,beta + Z_over_CN,37,0.9783525618693263,0.18458311384122733,0.2636280932273316,0.5310089281069081,2.5714915469311097,-92.65797710431185,-87.82522336637918,-1.759167440430421,M5_beta_Z_over_CN,,,0.1580024213692297,
beta0,beta + CN,37,0.9776267033966631,0.19160673060154113,0.26801149728789236,0.7000279913180036,2.657716019104424,-91.43767953070022,-86.60492579276755,-1.75852355238516,M3_beta_CN,,-0.009812643766868988,,
beta0,beta,37,0.9774818003089694,0.19670951611634305,0.2688779993526324,0.6279037165897425,2.674929005827345,-93.19881768346464,-89.97698185817619,-1.7688123407043879,M1_beta_only,,,,
