model_name,C1_formula,C2_formula
M11_full_interaction_radius,-1.74648986 + (0.00744413)*Z + (0.06816874)*CN + (-0.70111273)*r,-0.07307618 + (0.05706665)*Z + (0.00791221)*CN + (0.45009455)*r
M12_simplified_radius_dominant,-1.36873969 + (-0.79282682)*r,0.32330612 + (0.13871826)*r
