level,name,intercept_A,slope_B,n,R2,MAE,RMSE
global,all,-0.8582825607112794,-2.0295113433330454,37,0.7384195804515022,0.17490654841151324,0.22930056996994713
group,Group13,-0.8046999155496244,-2.190300590541898,20,0.8271772374320688,0.1556832769138336,0.2061436241698563
group,Group14,-0.8825472417665055,-1.904115830442076,17,0.6471471451274076,0.17739121734357324,0.22861209802108412
element,Al,-1.6754382652774806,-0.43955040322229777,4,0.1837634735309488,0.04742562637528247,0.057328261056651564
element,Ga,-1.447156611465636,-0.9020012740077775,3,0.9890690789023437,0.005474715946780284,0.005811112907725656
element,In,-1.8548974143831471,-0.46323800883207494,4,0.5852817098877376,0.034095166893291284,0.03509464179210129
element,Tl,0.8279053603328452,-4.016855317726945,9,0.4443426808944093,0.1460079144933788,0.21204439006300102
element,Ge,-0.6306963620580086,-1.8955726789151968,3,0.2231990328812763,0.1905571787605731,0.23338392739386216
element,Sn,-2.720669766539295,0.6226118105548375,4,0.074742232061353,0.10589341147763609,0.12714523367127772
element,Pb,-1.9474174374686068,-0.7975767324802613,10,0.746227740068296,0.0537556986609069,0.06550342509379536
