material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge
mp-12630,MgSeO4,1.839685567290701,0.4682089753336834,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Se,0.0,True
mp-1306808,NaCo2H3(SeO5)2,1.8169882090873692,0.3307960762042205,[4.0],6.0,6.0,6.0,Tetrahedron,1a,1,4.0,Se,0.0,True
mp-1388601,Tl2SeO4,1.9023555276897648,0.5945897842010079,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,Se,0.0,True
mp-14316,KPr(SeO4)2,1.8809213127109636,0.502166476001803,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-16771,MgSe2O5,1.838961020776543,0.3800638992125851,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8d,1,3.0,Se,0.0,True
mp-16913,Ag2SeO3,1.6149213750308369,-0.4520800776359495,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-17465,Gd2Cu(SeO3)4,1.806615739302999,0.2434944467264564,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-17540,Sr2Co(SeO3)3,1.9180636706870395,0.6468734772233683,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-17738,Sr2Cu(SeO3)3,1.899715445619989,0.5725929015005613,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-17839,K3Na(SeO4)2,1.8450534504086331,0.4697858616196748,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,Se,0.0,True
mp-17874,Sm2Cu(SeO3)4,1.8056899119600895,0.2405225638963945,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-17901,MnSe2O5,1.842962587049762,0.3805665020894405,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8d,1,3.0,Se,0.0,True
mp-18267,La2Cu(SeO3)4,1.8193180309786907,0.2853410638145714,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-18373,ZnSe2O5,1.840546552340614,0.3707448623621837,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8d,1,3.0,Se,0.0,True
