material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,48.0,3.0,1.6844809796401603,1.9164361593005599,1.7625630917203565,0.10880870995934448,0.23195517966039958,100.61101442244762,4.890473641288714,94.12970068155623,105.94201284352776,1.0,0.3333333333333333,6,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,51.0,3.0,1.684480979640164,1.9164361593005559,1.7625630917203559,0.10880870995934211,0.2319551796603918,100.61101442244767,4.8904736412887315,94.12970068155622,105.94201284352778,1.0,0.3333333333333333,7,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,52.0,3.0,1.683310433820344,1.9017911149398168,1.7578528934580528,0.10180137794432455,0.21848068111947283,100.89036483326159,4.690300070251795,94.76860821727902,106.16290407243362,1.0,0.3333333333333333,8,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,54.0,3.0,1.6833104338203466,1.9017911149398141,1.7578528934580533,0.10180137794432219,0.2184806811194675,100.89036483326156,4.690300070251816,94.76860821727894,106.16290407243356,1.0,0.3333333333333333,9,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,55.0,3.0,1.6833104338203406,1.901791114939817,1.7578528934580522,0.10180137794432521,0.21848068111947638,100.89036483326153,4.690300070251826,94.76860821727891,106.16290407243356,1.0,0.3333333333333333,10,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,56.0,3.0,1.6844809796401607,1.9164361593005619,1.7625630917203576,0.10880870995934516,0.23195517966040113,100.61101442244764,4.890473641288706,94.12970068155626,105.94201284352778,1.0,0.3333333333333333,11,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,57.0,3.0,1.6833104338203468,1.9017911149398126,1.7578528934580515,0.10180137794432237,0.21848068111946573,100.89036483326156,4.690300070251835,94.76860821727894,106.16290407243362,1.0,0.3333333333333333,12,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,58.0,3.0,1.6833104338203435,1.9017911149398141,1.7578528934580528,0.10180137794432265,0.2184806811194706,100.89036483326151,4.690300070251803,94.76860821727892,106.16290407243352,1.0,0.3333333333333333,13,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,60.0,3.0,1.6844809796401612,1.9164361593005579,1.762563091720357,0.10880870995934265,0.2319551796603967,100.61101442244761,4.8904736412886995,94.12970068155622,105.9420128435277,1.0,0.3333333333333333,14,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,61.0,3.0,1.6833104338203462,1.9017911149398121,1.757852893458051,0.10180137794432231,0.21848068111946595,100.89036483326157,4.690300070251833,94.76860821727895,106.16290407243363,1.0,0.3333333333333333,15,Triangular non-coplanar
mp-559568,K2Se2O5,1.9958580501368224,0.8463877461854908,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True,62.0,3.0,1.684480979640164,1.9164361593005559,1.7625630917203559,0.10880870995934215,0.2319551796603918,100.61101442244768,4.8904736412887155,94.12970068155626,105.94201284352778,1.0,0.3333333333333333,16,Triangular non-coplanar
