material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,18.0,3.0,1.7149326728554084,1.7353393424275854,1.723520245933849,0.008638676536164099,0.02040666957217696,60.86391459178318,28.738736897785287,21.791365374404574,90.08907050647646,3.0,1.0,3,Triangular non-coplanar
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,19.0,3.0,1.71493267285541,1.7353393424275874,1.7235202459338506,0.008638676536164302,0.020406669572177405,96.16068207620083,4.293635125763579,90.08907050647646,99.26433769214707,3.0,1.0,4,Triangular non-coplanar
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,20.0,3.0,1.71493267285541,1.7353393424275838,1.7235202459338488,0.008638676536162876,0.020406669572173852,98.91783470783038,9.405652162106476,90.08907050647649,111.94843006605129,3.0,1.0,5,Triangular non-coplanar
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,21.0,3.0,1.714932672855409,1.7353393424275856,1.7235202459338492,0.00863867653616398,0.020406669572176517,98.91783470783037,9.405652162106483,90.08907050647646,111.94843006605129,3.0,1.0,6,Triangular non-coplanar
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,22.0,3.0,1.7149326728554093,1.7353393424275854,1.723520245933849,0.008638676536163889,0.020406669572176073,60.86391459178318,28.738736897785287,21.79136537440459,90.08907050647649,3.0,1.0,7,Triangular non-coplanar
mp-557746,Zn2SeCl2O3,1.5808212443406024,-0.4961584810928522,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,23.0,3.0,1.7149326728554093,1.7353393424275854,1.723520245933849,0.008638676536163889,0.020406669572176073,82.80895695404972,5.680076471848656,76.22868537498569,90.08907050647649,3.0,1.0,8,Triangular non-coplanar
mp-557946,Cu3Se2(ClO3)2,1.7772853132205728,0.0551887846457513,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,6.0,3.0,1.7392549463416334,1.7746174236637886,1.7590630233644617,0.014746672502433198,0.03536247732215525,70.15970500138322,26.87391741122622,36.43069707925369,102.1924875061656,3.0,1.0,1,Triangular non-coplanar
mp-557946,Cu3Se2(ClO3)2,1.7772853132205728,0.0551887846457513,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,7.0,3.0,1.7392549463416342,1.774617423663788,1.7590630233644615,0.014746672502432502,0.035362477322153696,70.1597050013832,26.87391741122621,36.43069707925369,102.19248750616558,3.0,1.0,2,Triangular non-coplanar
mp-557997,CaSeO3,1.8170167776184776,0.3758452482671107,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-558021,K2MoSeO6,1.888135137701043,0.5887397399646164,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-558202,Fe2Cu3(SeO3)6,1.8083595211879897,0.2108863548087616,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-558257,DySeClO3,1.847757662813842,0.3918069111969641,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,4.0,3.0,1.7009502105086536,1.7532692438983308,1.7358295661017715,0.024663428863310632,0.05231903338967725,98.38139118128463,5.5546550485659605,90.52592267729845,102.3091254332777,3.0,1.0,1,Triangular non-coplanar
mp-558257,DySeClO3,1.847757662813842,0.3918069111969641,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,5.0,3.0,1.7009502105086536,1.753269243898331,1.7358295661017717,0.02466342886331084,0.05231903338967747,98.38139118128463,5.554655048565954,90.52592267729847,102.30912543327771,3.0,1.0,2,Triangular non-coplanar
mp-558257,DySeClO3,1.847757662813842,0.3918069111969641,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,6.0,3.0,1.7009502105086518,1.7532692438983302,1.7358295661017706,0.02466342886331121,0.05231903338967836,98.38139118128464,5.554655048565934,90.52592267729851,102.3091254332777,3.0,1.0,3,Triangular non-coplanar
mp-558257,DySeClO3,1.847757662813842,0.3918069111969641,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,7.0,3.0,1.7009502105086542,1.753269243898331,1.7358295661017722,0.02466342886331053,0.052319033389676806,98.38139118128463,5.554655048565954,90.52592267729847,102.3091254332777,3.0,1.0,4,Triangular non-coplanar
mp-558289,UAg2(SeO4)2,1.7687661116027225,0.0978156881831052,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
