material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10080,PrGeBO5,1.399002790806443,0.2695548536260598,[4.0],3.0,3.0,3.0,Tetrahedron,3a,1,4.0,B,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1019509,B2S2O9,1.378611289438328,0.3128296785519984,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,B,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1019518,Ba2CaSi4(BO7)2,2.3282669085457104,-2.9130567725111285,[4.0],3.0,3.0,3.0,"Square-face capped square prism, Tetrahedron","4g, 4i",2,4.0,B,0.0,True,,,,,,,,,,,,,,0,"Square-face capped square prism, Tetrahedron"
mp-1019522,Ba2B10O17,1.3835352136642007,0.3184125596333006,"[3.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",2i,4,3.0,B,0.0,True,,,,,,,,,,,,,,0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron"
mp-1019522,Ba2B10O17,1.3835352136642007,0.3184125596333006,"[3.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",2i,4,4.0,B,0.0,True,,,,,,,,,,,,,,0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron"
mp-1019526,Ba3Si2(B3O8)2,1.3894511744017424,0.3423993533470842,"[3.0, 4.0]",3.0,3.0,3.0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)","2i, 1f",4,3.0,B,0.0,True,,,,,,,,,,,,,,0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)"
mp-1019526,Ba3Si2(B3O8)2,1.3894511744017424,0.3423993533470842,"[3.0, 4.0]",3.0,3.0,3.0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)","2i, 1f",4,4.0,B,0.0,True,,,,,,,,,,,,,,0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)"
mp-1019527,Ba3Y2(B2O5)3,1.3845307242958422,0.3954057269951265,[3.0],3.0,3.0,3.0,"Trigonal plane, Tricapped triangular prism (one square-face cap and two triangular-face caps)","12d, 24e",2,3.0,B,0.0,True,,,,,,,,,,,,,,0,"Trigonal plane, Tricapped triangular prism (one square-face cap and two triangular-face caps)"
mp-1019528,Ba2Mg(BO2)6,1.386475493174771,0.5412862144604201,[3.0],3.0,3.0,3.0,"Triangular cupola, Trigonal plane","2c, 6f",2,3.0,B,0.0,True,,,,,,,,,,,,,,0,"Triangular cupola, Trigonal plane"
mp-1019529,Ba8Al10B12O41,1.3863098780050342,0.2194198075768718,[3.0],3.0,3.0,3.0,"Tricapped octahedron (cap faces are aligned), Trigonal plane, Square-face bicapped square antiprism, Square-face monocapped antiprism",2i,4,3.0,B,0.0,True,20.0,3.0,1.3717329821710469,1.3943724976802112,1.3867638843434396,0.010628725050288996,0.02263951550916432,82.62579584477739,30.452731734010044,50.86150251218393,123.69376306364084,3.0,1.0,1,"Tricapped octahedron (cap faces are aligned), Trigonal plane, Square-face bicapped square antiprism, Square-face monocapped antiprism"
