material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge
mp-1019710,CsB5O8,1.3696719748810438,0.3979227181921618,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","4c, 8d",2,4.0,B,0.0,True
mp-1019716,CsLi4(BO2)5,1.3818534441060562,0.3654512944850271,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1019716,CsLi4(BO2)5,1.3818534441060562,0.3654512944850271,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,4.0,B,0.0,True
mp-1019717,CsBS3O11,1.3981688136952557,0.2856301244555815,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1019721,CsMgBO3,1.3900875192503572,0.4773404585486023,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1019723,CsZn4(BO3)3,1.3897665308484883,0.5006169127849638,[3.0],3.0,3.0,3.0,Trigonal plane,"4g, 2f",1,3.0,B,0.0,True
mp-1019739,Eu2Ge(BO4)2,1.4218367202354778,0.2269099205513541,[4.0],3.0,3.0,3.0,Tetrahedron,8d,1,4.0,B,0.0,True
mp-1019777,K2La2B2O7,1.3953033884365211,0.892049140828509,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1019778,K2Li3B(P2O7)2,1.5358985313078235,-0.1890120055063312,[4.0],3.0,3.0,3.0,Tetrahedron,4d,1,4.0,B,0.0,True
mp-1019782,K2LiB(PO4)2,1.3598580422334057,0.3844981771807198,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1019787,K2NaZn(BO2)5,1.3821738332273503,0.3593027571578276,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4f,2,3.0,B,0.0,True
mp-1019787,K2NaZn(BO2)5,1.3821738332273503,0.3593027571578276,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4f,2,4.0,B,0.0,True
mp-1019789,K3B(SO4)3,1.2909196136394847,0.6099465497191036,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1019797,K5B(SO4)4,1.4602917715915562,0.0715028063696986,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,B,0.0,True
mp-1019805,KB(S2O7)2,1.6196925509527234,-0.4809804171807428,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,B,0.0,True
mp-1019808,KBe2B3O7,1.3787795696551586,0.5708547889899553,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2a,2,3.0,B,0.0,True
mp-1019809,KBe2B3O7,1.3791899092225408,0.3900023851084422,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane","4b, 2a",2,3.0,B,0.0,True
