features,n,R2_c1,MAE_c1,RMSE_c1,R2_beta0,MAE_beta0,RMSE_beta0,intercept_c1,coef_Z,model_name,coef_CN,coef_ionic_radius,coef_Z_over_CN
Z + CN + ionic_radius,91,0.9598204884373498,0.05798930977001079,0.07464141648041524,0.981553197983021,0.033371507047559146,0.054096370320000954,-0.9012345718916481,-0.11078151774056301,C1_M7_Z_CN_radius,0.029960063893723087,-1.1315022568325932,
CN + ionic_radius,91,0.9400927501250234,0.07598186354480518,0.09114172364359048,0.975732949593285,0.043309777873944806,0.062046327264395434,-1.103503260954389,,C1_M6_CN_radius,0.027269408565616788,-1.0826091591912028,
Z + ionic_radius,91,0.905480426575904,0.09302393442867261,0.1144823201534631,0.9745332251262772,0.04900509273395643,0.06356156147153415,-0.9163348625847338,-0.08337679111975436,C1_M5_Z_radius,,-0.9967490129250756,
ionic_radius,91,0.8940518990932838,0.0995672229011813,0.12120600424430088,0.9704951048906637,0.05334628751537957,0.06841551817293973,-1.0709821129996502,,C1_M3_radius_only,,-0.9684299610784898,
Z + CN,91,0.07888064487213797,0.2933132612599842,0.3573843247818694,0.5621481854462288,0.17748976914082962,0.26355493945340636,-2.280039334753131,0.10297944355918279,C1_M4_Z_CN,-0.02788318310567965,,
CN,91,0.06028318458911708,0.2977039265061914,0.36097410236299815,0.5257887802389711,0.18074349271847331,0.2742795925529573,-2.1353338488798945,,C1_M2_CN_only,-0.02768927825648088,,
Z,91,0.017759907423646748,0.3002593492731158,0.36905098981708107,0.5056773674970348,0.1804997447416712,0.2800353326226299,-2.460241674029956,0.10062584816297342,C1_M1_Z_only,,,
Z_over_CN,91,0.015343892125785796,0.30284154602346225,0.36950458829566407,0.4877030784455708,0.18382793483363657,0.28508111988793183,-2.363068011554662,,C1_M8_Z_over_CN,,,0.14054833230803943
