name,mean_ionic_radius,mean_c1,std_c1,n
Ba,1.436923076923077,-2.5397037032667176,0.03260182418053954,13
Ca,1.1033333333333333,-2.1364065504199163,0.04803780162860628,9
Cs,1.7345454545454544,-2.8553552997231955,0.020374374927307277,11
K,1.4776923076923079,-2.441550696174418,0.05154681865997468,13
Li,0.6737500000000001,-1.6608798749855098,0.09717299444718232,8
Mg,0.65,-1.7540708314128783,0.01676426932644576,3
Na,1.116,-1.989761141630926,0.043170806527486366,10
Rb,1.5881818181818181,-2.6114473643212905,0.03181569057366453,11
Sr,1.258181818181818,-2.3216269732232746,0.04886670534947732,11
