CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,1.0,2.0
1.0,3,3,1.0,3.0
2.0,2,2,0.2222222222222222,0.4444444444444444
2.0,3,7,0.7777777777777778,2.3333333333333335
3.0,2,5,0.7142857142857143,1.4285714285714286
3.0,3,2,0.2857142857142857,0.8571428571428571
4.0,2,92,0.5168539325842697,1.0337078651685394
4.0,3,67,0.37640449438202245,1.1292134831460674
4.0,4,2,0.011235955056179775,0.0449438202247191
4.0,5,9,0.05056179775280899,0.25280898876404495
4.0,6,5,0.028089887640449437,0.16853932584269662
4.0,7,3,0.016853932584269662,0.11797752808988764
5.0,2,290,0.7923497267759563,1.5846994535519126
5.0,3,74,0.20218579234972678,0.6065573770491803
5.0,4,2,0.00546448087431694,0.02185792349726776
6.0,2,585,0.41995692749461594,0.8399138549892319
6.0,3,527,0.3783201722900215,1.1349605168700645
6.0,4,279,0.20028715003589376,0.801148600143575
6.0,7,2,0.0014357501794687725,0.010050251256281407
7.0,2,10,1.0,2.0
8.0,2,15,1.0,2.0
