CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,3,2,1.0,3.0
1.0,3,1,1.0,3.0
2.0,3,8,1.0,3.0
3.0,3,54,1.0,3.0
4.0,1,1,0.007751937984496124,0.007751937984496124
4.0,3,128,0.9922480620155039,2.9767441860465116
5.0,3,133,0.9708029197080292,2.9124087591240877
5.0,4,2,0.014598540145985401,0.058394160583941604
5.0,5,2,0.014598540145985401,0.072992700729927
6.0,2,2,0.005847953216374269,0.011695906432748537
6.0,3,230,0.672514619883041,2.017543859649123
6.0,4,14,0.04093567251461988,0.16374269005847952
6.0,5,96,0.2807017543859649,1.4035087719298245
7.0,3,166,0.9651162790697675,2.8953488372093026
7.0,4,4,0.023255813953488372,0.09302325581395349
7.0,5,2,0.011627906976744186,0.05813953488372093
8.0,2,3,0.012605042016806723,0.025210084033613446
8.0,3,235,0.9873949579831933,2.96218487394958
9.0,3,24,1.0,3.0
10.0,3,2,1.0,3.0
12.0,3,3,1.0,3.0
