CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,"Trigonal prism, Pentagonal bipyramid, Square antiprism, Dodecahedron with triangular faces",4,1,2.169698075463365,2.169698075463365,0.0,1.0,1.0
2.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",16,4,2.3211408476383677,2.359212139197584,0.03807129155921658,1.0,0.4444444444444444
3.0,Triangular non-coplanar,37,8,2.089930385011277,2.1130387336218783,0.02309444650223838,0.9629629629629629,0.2
4.0,"See-saw, Square pyramid",86,6,2.153050578700068,2.2252897671050804,0.07279165026251017,0.9761904761904762,0.12874251497005987
5.0,Square pyramid,216,42,2.1304012319923653,2.3419471753608683,0.18568059244321816,0.9798994974874372,0.2577565632458234
6.0,Octahedron,630,180,2.180734839116041,2.2588616436241122,0.06582909709465758,0.9984051036682615,0.44776119402985076
7.0,Square-face capped trigonal prism,116,29,2.254116348558873,2.489822045644005,0.22068955307364815,1.0,0.1097445600756859
8.0,Square-face bicapped trigonal prism,139,43,2.2863657424757964,2.5593115353910454,0.2402999497247671,1.0,0.12533814247069433
9.0,"Cube, Tricapped triangular prism (three square-face caps)",40,5,2.251054245071649,2.5997353084377024,0.24288457740678004,1.0,0.35714285714285715
10.0,"Bicapped square prism (opposite faces), Square non-coplanar",2,1,2.377738289420918,2.643827012388332,0.21742621311570465,1.0,0.5
12.0,Icosahedron,9,2,2.5355262613700567,2.682470697359113,0.130242441190379,1.0,0.9
