material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge
mp-1101681,Nd2(BiO2)7,2.217968913922958,0.2367633498150519,"[4.0, 5.0, 7.0]",3.2900000000000005,3.29,3.29,"Face-capped octahedron, Tetrahedron, Square pyramid, Trigonal bipyramid",1a,4,5.0,Bi,0.0,True
mp-1101681,Nd2(BiO2)7,2.217968913922958,0.2367633498150519,"[4.0, 5.0, 7.0]",3.2900000000000005,3.29,3.29,"Face-capped octahedron, Tetrahedron, Square pyramid, Trigonal bipyramid",1a,4,7.0,Bi,0.0,True
mp-1104660,Bi(PdO2)2,2.51073464929439,0.0745360590427585,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2i,1,7.0,Bi,0.0,True
mp-1105091,CoBiAsO5,2.079751652241093,0.5099568316260821,[5.0],3.0,3.0,3.0,Square pyramid,4i,1,5.0,Bi,0.0,True
mp-1105271,MnBiO3,1.5272002157384736,1.1780633763149695,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Bi,0.0,True
mp-1105584,VZn2BiO6,1.9276414536108697,0.6733877788169799,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2i,1,7.0,Bi,0.0,True
mp-1105718,NiBiO3,1.4789889397608111,1.1374697177908528,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Octahedron",2i,2,6.0,Bi,0.0,True
mp-1105718,NiBiO3,1.4789889397608111,1.1374697177908528,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Octahedron",2i,2,7.0,Bi,0.0,True
mp-1105780,Bi2O3,2.171773719408737,0.3947150974381342,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2b, 6c",2,3.0,Bi,0.0,True
mp-1105780,Bi2O3,2.171773719408737,0.3947150974381342,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2b, 6c",2,5.0,Bi,0.0,True
mp-1106073,BiH(SeO3)2,2.0756675825578066,0.4938431203107362,[5.0],3.0,3.0,3.0,Square pyramid,2a,1,5.0,Bi,0.0,True
mp-1106129,Bi4Te2Br2O9,2.119198409154788,0.3675024577184579,"[10.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (opposite faces), Square non-coplanar","1a, 1b, 2c",2,10.0,Bi,0.0,True
mp-1106129,Bi4Te2Br2O9,2.119198409154788,0.3675024577184579,"[10.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (opposite faces), Square non-coplanar","1a, 1b, 2c",2,4.0,Bi,0.0,True
mp-1106239,MnBiO3,2.146761020312613,0.4827754540882312,"[4.0, 6.0]",3.0,3.0,3.0,"Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",2a,2,4.0,Bi,0.0,True
mp-1106239,MnBiO3,2.146761020312613,0.4827754540882312,"[4.0, 6.0]",3.0,3.0,3.0,"Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",2a,2,6.0,Bi,0.0,True
mp-1173237,Sr3Ta7Si(BiO4)9,2.147378733322544,0.4030546621149476,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism",1a,3,6.0,Bi,0.0,True
mp-1173237,Sr3Ta7Si(BiO4)9,2.147378733322544,0.4030546621149476,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism",1a,3,7.0,Bi,0.0,True
mp-1173237,Sr3Ta7Si(BiO4)9,2.147378733322544,0.4030546621149476,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism",1a,3,8.0,Bi,0.0,True
mp-1173247,Sr3LaCu2HgBiO10,2.5783430872330664,-0.2424413457742204,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Bi,0.0,True
mp-1173263,Sr2MnBiPbO6,2.1324347432325315,0.019072339047253,[3.0],3.0,3.0,3.0,Triangular non-coplanar,2c,1,3.0,Bi,0.0,True
mp-1176418,Na2BiAsCO7,2.183510263097401,0.2953056514289261,[6.0],3.0,3.0,3.0,Pentagonal bipyramid,2e,1,6.0,Bi,0.0,True
mp-1177146,Li5Bi(P2O7)2,1.9342488316394664,0.6223833697081369,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2i,1,7.0,Bi,0.0,True
mp-1178246,Gd3(BiO4)2,2.006783709929179,0.6873498175608681,[6.0],3.5,3.5,3.5,"Trigonal prism, Octahedron",1a,2,6.0,Bi,0.0,True
mp-1178488,Bi3O4F,2.057628014138545,0.61151968702663,"[3.0, 6.0]",3.0,3.0,3.0,"See-saw, Cube","2e, 4f",2,3.0,Bi,0.0,True
mp-1178488,Bi3O4F,2.057628014138545,0.61151968702663,"[3.0, 6.0]",3.0,3.0,3.0,"See-saw, Cube","2e, 4f",2,6.0,Bi,0.0,True
mp-1179025,Ti3(BiO3)4,1.8742846067376508,0.807090047267098,"[8.0, 9.0]",3.0,3.0,3.0,"Triangular cupola, Square-face bicapped trigonal prism",2i,2,8.0,Bi,0.0,True
mp-1179025,Ti3(BiO3)4,1.8742846067376508,0.807090047267098,"[8.0, 9.0]",3.0,3.0,3.0,"Triangular cupola, Square-face bicapped trigonal prism",2i,2,9.0,Bi,0.0,True
mp-1188946,Re2BiO6,1.0753938971507473,1.985068436274148,[6.0],3.0,3.0,3.0,Trigonal prism,2e,1,6.0,Bi,0.0,True
mp-1189868,Cd4BiB3O10,2.160675055307068,0.3758240064532826,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Bi,0.0,True
mp-1190124,Bi2O3,2.435565679948787,-0.0653058572877404,[5.0],3.0,3.0,3.0,Square pyramid,8d,1,5.0,Bi,0.0,True
mp-1190466,CoBi6(SO8)2,2.1153065633427395,0.545928902806362,"[4.0, 7.0]",3.0,3.0,3.0,Square-face capped trigonal prism,2c,1,4.0,Bi,0.0,True
mp-1190466,CoBi6(SO8)2,2.1153065633427395,0.545928902806362,"[4.0, 7.0]",3.0,3.0,3.0,Square-face capped trigonal prism,2c,1,7.0,Bi,0.0,True
mp-1190898,Bi7O5F11,2.076652831330886,0.3180848034409179,"[2.0, 3.0, 2.0, 4.0]",3.0,3.0,3.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized","1b, 2c",3,2.0,Bi,0.0,True
mp-1190898,Bi7O5F11,2.076652831330886,0.3180848034409179,"[2.0, 3.0, 2.0, 4.0]",3.0,3.0,3.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized","1b, 2c",3,3.0,Bi,0.0,True
mp-1190898,Bi7O5F11,2.076652831330886,0.3180848034409179,"[2.0, 3.0, 2.0, 4.0]",3.0,3.0,3.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized","1b, 2c",3,2.0,Bi,0.0,True
mp-1190898,Bi7O5F11,2.076652831330886,0.3180848034409179,"[2.0, 3.0, 2.0, 4.0]",3.0,3.0,3.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized","1b, 2c",3,4.0,Bi,0.0,True
mp-1191023,Bi3Te4(ClO2)5,2.2014683482655264,0.1829436135096942,[4.0],3.0,3.0,3.0,"Hexagonal bipyramid, See-saw","1a, 2i",2,4.0,Bi,0.0,True
mp-1191266,BiIO4,2.577169581408301,0.0347951433647716,[7.0],3.0,3.0,3.0,Cube,4a,1,7.0,Bi,0.0,True
