material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-2716537,Na6Hf7Mg(PO4)12,1.8837326622797328,0.447272302800303,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-2716540,Na10Hf5Zn3(PO4)12,1.8118032634834211,0.6457915407307653,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-2716546,NaY2Hf2P3(SO8)3,1.9169123233841432,0.3819681826748652,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Hf,0.0,True
mp-2716555,Na2Hf4Ga4Si3(S3O16)3,1.91698103688261,0.3411882435545109,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-2716566,Na3Hf3Ga(PO4)6,1.9092568970831731,0.3708272423761207,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-2716570,Na4HfSi3SnO12,1.537569186039029,1.313714494628977,[6.0],4.0,4.0,4.0,Octahedron,"1b, 1c, 1a",1,6.0,Hf,0.0,True
mp-27221,Ca2Hf7O16,1.8171871421310375,0.5980928295743111,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,6.0,Hf,0.0,True
mp-27221,Ca2Hf7O16,1.8171871421310375,0.5980928295743111,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","6f, 1a",2,7.0,Hf,0.0,True
mp-2724101,Li2HfO3,2.111551418499306,-0.0343462213294382,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-2755143,Ba4Hf3O10,1.9961399416864216,0.2284977695249734,[6.0],4.0,4.0,4.0,Octahedron,"2a, 4d",1,6.0,Hf,0.0,True
mp-3378,SrHfO3,2.0606968868785756,0.0329981839619146,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Hf,0.0,True
mp-352,HfO2,1.9691887057644872,0.3871429078933692,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,4e,1,7.0,Hf,0.0,True
mp-35799,Hf2Bi2O7,2.0250131002946103,0.1177241786512692,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Hf,0.0,True
mp-3721,SrHfO3,2.0709235011252227,-0.0087242830016235,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Hf,0.0,True
mp-40161,NaHf2(PO4)3,1.9078509260136471,0.3909765137462035,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-4673,SrHfO3,2.060568015456152,0.0223681145703911,[6.0],4.0,4.0,4.0,Octahedron,4d,1,6.0,Hf,0.0,True
mp-531956,Hf3Sc4O12,1.8122094249680891,0.6466595001569705,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,6.0,Hf,0.0,True
mp-531956,Hf3Sc4O12,1.8122094249680891,0.6466595001569705,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,7.0,Hf,0.0,True
