material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1101177,Y2Hf2O7,1.9065213715782516,0.8707041726521828,[5.0],4.0,4.0,4.0,Trigonal bipyramid,2i,1,5.0,Hf,0.0,True,2,5,1.9510521548212003,2.315076656405865,2.050882518084529,0.13575499206241656,0.3640245015846648,85.56254675325451,28.12592292336484,23.534900366297105,118.78926843000839,5,1.0,1,Trigonal bipyramid
mp-1101177,Y2Hf2O7,1.9065213715782516,0.8707041726521828,[5.0],4.0,4.0,4.0,Trigonal bipyramid,2i,1,5.0,Hf,0.0,True,3,5,1.9510521548211996,2.315076656405866,2.0508825180845287,0.13575499206241703,0.36402450158466637,107.0465019126173,28.18682252086567,79.41327592150685,179.6241143508297,5,1.0,2,Trigonal bipyramid
mp-1178405,Cs2HfO3,1.6655496660383586,1.666413077027686,[5.0],4.0,4.0,4.0,Square pyramid,2c,1,5.0,Hf,0.0,True,4,5,1.9074866240606883,2.0715215654540744,2.0387145771753965,0.06561397655735429,0.16403494139338615,70.16811714482387,30.305472657317814,30.297356621227603,109.55688351166604,4,0.8,1,Square pyramid
mp-1178405,Cs2HfO3,1.6655496660383586,1.666413077027686,[5.0],4.0,4.0,4.0,Square pyramid,2c,1,5.0,Hf,0.0,True,5,5,1.9074866240606876,2.0715215654540744,2.0387145771753965,0.06561397655735456,0.1640349413933868,64.62558024806283,25.719478188103363,23.934725310727465,101.42946207955963,4,0.8,2,Square pyramid
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Hf,0.0,True,8,4,1.9222433632432248,2.0104138589775418,1.9664400856331459,0.043968822954669876,0.08817049573431701,109.46364654762725,0.911500336700363,108.07708216576545,110.85207713415846,2,0.5,1,Tetrahedron
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Hf,0.0,True,9,4,1.9222433632432214,2.010413858977543,1.966440085633146,0.04396882295467144,0.08817049573432167,91.24567705017519,31.293249690591274,22.366261025337487,110.8520771341585,2,0.5,2,Tetrahedron
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Hf,0.0,True,10,4,1.9222433632432248,2.0104138589775413,1.9664400856331459,0.04396882295466954,0.08817049573431657,91.24567705017516,31.29324969059129,22.366261025337433,110.85207713415846,2,0.5,3,Tetrahedron
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Hf,0.0,True,11,4,1.9222433632432243,2.0104138589775413,1.9664400856331459,0.043968822954669494,0.08817049573431701,109.46364654762725,0.9115003367003995,108.07708216576536,110.8520771341585,2,0.5,4,Tetrahedron
mp-1198622,Li7La3Hf2O12,1.9902722135894728,0.2307351717193426,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Hf,0.0,True,40,6,2.076316680725896,2.0883937648687527,2.0838836830466643,0.005383466203717212,0.012077084142856798,98.65407040637578,36.96856026313546,39.81105609563706,180.0,6,1.0,1,Octahedron
mp-1198622,Li7La3Hf2O12,1.9902722135894728,0.2307351717193426,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Hf,0.0,True,41,6,2.0763165609957754,2.0883958353921908,2.0838843332933528,0.005384100552041386,0.012079274396415318,108.00000000000001,36.11856130089066,85.06764868870535,180.0,6,1.0,2,Octahedron
