CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,4,15,1.0,4.0
1.0,4,33,1.0,4.0
2.0,4,34,1.0,4.0
3.0,4,36,1.0,4.0
4.0,4,16,1.0,4.0
5.0,4,7,1.0,4.0
6.0,4,356,1.0,4.0
7.0,4,15,1.0,4.0
8.0,4,7,1.0,4.0
