material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,12.0,4.0,1.6918736693960792,1.7719840875485398,1.7321109828546277,0.028868909173536714,0.08011041815246056,74.61126287218428,17.505363131666495,54.63162644073532,105.23849495142933,4.0,1.0,1,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,13.0,4.0,1.68806245845744,1.781895424355485,1.7292764089749588,0.03366523805144086,0.09383296589804502,109.10983167936699,5.755610838886379,103.14507602200212,116.44323167222643,4.0,1.0,2,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,14.0,4.0,1.6880624584574404,1.781895424355485,1.7292764089749588,0.033665238051440775,0.09383296589804457,88.17446709518019,24.46608936750306,40.572605506721004,115.69355568324224,4.0,1.0,3,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,15.0,4.0,1.6880624584574417,1.7818954243554843,1.7292764089749593,0.03366523805144007,0.09383296589804258,88.17446709518019,24.46608936750306,40.572605506721004,115.69355568324227,4.0,1.0,4,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,16.0,4.0,1.6918736693960794,1.7719840875485404,1.7321109828546277,0.028868909173536714,0.080110418152461,74.61126287218428,17.505363131666495,54.63162644073532,105.23849495142936,4.0,1.0,5,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,17.0,4.0,1.6880624584574417,1.7818954243554854,1.729276408974959,0.03366523805144057,0.09383296589804369,109.10983167936696,5.755610838886355,103.14507602200214,116.44323167222637,4.0,1.0,6,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,18.0,4.0,1.691873669396081,1.7719840875485402,1.7321109828546275,0.028868909173536093,0.08011041815245923,91.74785727136367,22.36794145248859,57.774945967208836,115.14178154016187,4.0,1.0,7,Tetrahedron
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,19.0,4.0,1.6918736693960785,1.7719840875485409,1.7321109828546275,0.02886890917353733,0.08011041815246234,91.74785727136369,22.36794145248859,57.77494596720887,115.14178154016199,4.0,1.0,8,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,12.0,4.0,1.6719275375318605,1.76596191538059,1.7266556588162234,0.03430421577566803,0.09403437784872959,75.04087539798992,18.102170112497806,53.68164046975238,105.37855632241074,4.0,1.0,1,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,13.0,4.0,1.6770343447041598,1.7763738104022613,1.7248101826723055,0.036426545494789526,0.09933946569810148,109.16460851944639,5.3005111159699805,101.87845329582079,115.12594343017,4.0,1.0,2,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,14.0,4.0,1.6770343447041602,1.7763738104022617,1.7248101826723055,0.03642654549478976,0.09933946569810148,88.92727282308469,24.64692404565525,40.18481373427431,115.12594343017003,4.0,1.0,3,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,15.0,4.0,1.6770343447041591,1.7763738104022617,1.7248101826723055,0.03642654549478989,0.09933946569810259,88.92727282308466,24.64692404565525,40.18481373427429,115.12594343017,4.0,1.0,4,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,16.0,4.0,1.6719275375318643,1.7659619153805888,1.726655658816224,0.03430421577566605,0.09403437784872448,75.04087539798995,18.102170112497813,53.68164046975243,105.37855632241082,4.0,1.0,5,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,17.0,4.0,1.677034344704161,1.7763738104022624,1.724810182672306,0.03642654549478967,0.09933946569810148,109.16460851944639,5.300511115969994,101.87845329582079,115.12594343017003,4.0,1.0,6,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,18.0,4.0,1.6719275375318599,1.7659619153805906,1.7266556588162236,0.034304215775668515,0.0940343778487307,92.13306281229866,22.828845691136348,58.66091750326828,115.06893812909527,4.0,1.0,7,Tetrahedron
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,19.0,4.0,1.6719275375318612,1.765961915380589,1.7266556588162234,0.034304215775667356,0.09403437784872781,92.13306281229866,22.828845691136337,58.660917503268266,115.06893812909527,4.0,1.0,8,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,12.0,4.0,1.6875156738914938,1.7673210904101635,1.7296052925126546,0.02884426258750299,0.07980541651866968,74.87585986010022,17.88969393205277,55.10411196904932,104.91958300640303,4.0,1.0,1,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,13.0,4.0,1.687999712835889,1.7874651339498397,1.729330063141191,0.03615634046913666,0.09946542111395074,109.07619493245026,5.897462348830438,102.98450147418698,116.10468931297747,4.0,1.0,2,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,14.0,4.0,1.6879997128358921,1.7874651339498393,1.729330063141191,0.03615634046913574,0.09946542111394718,87.76819477467616,24.299046109003136,40.556619322760305,115.20376558422,4.0,1.0,3,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,15.0,4.0,1.68799971283589,1.7874651339498406,1.7293300631411919,0.03615634046913669,0.09946542111395074,87.76819477467616,24.299046109003147,40.5566193227603,115.20376558422005,4.0,1.0,4,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,16.0,4.0,1.6875156738914905,1.7673210904101668,1.7296052925126553,0.028844262587505425,0.07980541651867634,74.87585986010022,17.88969393205278,55.104111969049306,104.91958300640307,4.0,1.0,5,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,17.0,4.0,1.6879997128358935,1.787465133949839,1.729330063141191,0.036156340469135385,0.09946542111394563,109.07619493245028,5.8974623488304045,102.98450147418703,116.10468931297741,4.0,1.0,6,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,18.0,4.0,1.6875156738914936,1.7673210904101637,1.7296052925126548,0.028844262587503097,0.07980541651867012,91.77849201148099,23.044068014272902,57.20291744419505,114.5819229206964,4.0,1.0,7,Tetrahedron
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,19.0,4.0,1.6875156738914925,1.767321090410166,1.7296052925126548,0.02884426258750438,0.07980541651867346,91.77849201148098,23.044068014272902,57.20291744419505,114.58192292069636,4.0,1.0,8,Tetrahedron
mp-1042399,MgCuAs2O7,1.7831703480614132,0.2614330601501409,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1042425,ZnCuAs2O7,1.7866959180749429,0.2610400945796934,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,,,,,,,,,,,,,,0,Tetrahedron
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,8.0,4.0,1.6849377790355704,1.7991502431411475,1.7250863725357983,0.04380812541263745,0.11421246410557706,109.1961696542145,5.204355026792269,100.96266253835435,116.76297230913838,4.0,1.0,1,Tetrahedron
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,9.0,4.0,1.6849377790355713,1.799150243141147,1.7250863725357983,0.043808125412637046,0.11421246410557573,109.19616965421449,5.2043550267922605,100.96266253835437,116.76297230913838,4.0,1.0,2,Tetrahedron
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,10.0,4.0,1.6849377790355713,1.7991502431411466,1.7250863725357983,0.04380812541263684,0.11421246410557528,109.1961696542145,5.2043550267922765,100.96266253835435,116.76297230913842,4.0,1.0,3,Tetrahedron
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,11.0,4.0,1.6849377790355704,1.799150243141147,1.7250863725357979,0.0438081254126374,0.11421246410557662,109.1961696542145,5.2043550267922605,100.96266253835438,116.76297230913838,4.0,1.0,4,Tetrahedron
mp-1042739,CaCoAs2O7,1.7977637703332423,0.3239459890494398,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,8.0,4.0,1.7015035186174046,1.814515997217003,1.7318846295058308,0.04778870654021546,0.11301247859959851,109.26246170278652,5.412626092198727,104.4830067972533,119.84621168345119,4.0,1.0,1,Tetrahedron
mp-1042739,CaCoAs2O7,1.7977637703332423,0.3239459890494398,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,9.0,4.0,1.7015035186174023,1.8145159972170044,1.7318846295058306,0.04778870654021638,0.11301247859960206,109.26246170278652,5.412626092198727,104.48300679725335,119.84621168345116,4.0,1.0,2,Tetrahedron
mp-1042739,CaCoAs2O7,1.7977637703332423,0.3239459890494398,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True,10.0,4.0,1.7015035186174032,1.8145159972170035,1.7318846295058303,0.04778870654021596,0.11301247859960029,109.26246170278652,5.412626092198728,104.48300679725331,119.84621168345116,4.0,1.0,3,Tetrahedron
