material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Y_wyckoff,num_Y_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,7.0,Y,0.0,True,8.0,7.0,2.26496196228396,2.5180799277326353,2.3672054142591543,0.08830343631755802,0.25311796544867526,65.81213943427777,35.984411657341745,10.357756930274345,154.11206213675902,7.0,1.0,1,"Pentagonal bipyramid, Square antiprism"
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,7.0,Y,0.0,True,9.0,7.0,2.26496196228396,2.518079927732634,2.3672054142591543,0.08830343631755751,0.25311796544867393,65.81213943427778,35.98441165734175,10.357756930274416,154.11206213675908,7.0,1.0,2,"Pentagonal bipyramid, Square antiprism"
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,7.0,Y,0.0,True,10.0,7.0,2.2649619622839605,2.518079927732636,2.3672054142591543,0.08830343631755819,0.25311796544867526,102.3451151315757,31.393821833515293,63.45604278571756,169.69022859049295,7.0,1.0,3,"Pentagonal bipyramid, Square antiprism"
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,7.0,Y,0.0,True,11.0,7.0,2.26496196228396,2.518079927732635,2.367205414259154,0.08830343631755781,0.2531179654486748,102.3451151315757,31.393821833515304,63.45604278571757,169.6902285904929,7.0,1.0,4,"Pentagonal bipyramid, Square antiprism"
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,8.0,Y,0.0,True,12.0,8.0,2.2556167019901245,2.8166900268810333,2.4639029872895652,0.2111176383783275,0.5610733248909088,47.26759212617197,23.714804653379282,10.729366884744088,83.20596432754047,8.0,1.0,1,"Pentagonal bipyramid, Square antiprism"
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,8.0,Y,0.0,True,13.0,8.0,2.255616701990124,2.8166900268810324,2.4639029872895652,0.2111176383783276,0.5610733248909083,63.27093976614263,26.15827873844977,21.255386849020947,144.0829788025781,8.0,1.0,2,"Pentagonal bipyramid, Square antiprism"
mp-1019533,Ba9Y2(SiO4)6,1.8744438694970984,0.5490673282749077,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Y,0.0,True,9.0,6.0,2.2294151258945867,2.2818941853747132,2.255654674089545,0.026239479706623655,0.052479059480126544,66.02099375982611,21.35248414844143,33.19916040797099,89.62954782476088,6.0,1.0,1,Octahedron
mp-1019533,Ba9Y2(SiO4)6,1.8744438694970984,0.5490673282749077,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Y,0.0,True,10.0,6.0,2.229415125894585,2.2818941853747154,2.255654674089545,0.026239479706624692,0.05247905948013054,66.02099375982608,21.35248414844142,33.19916040797098,89.62954782476082,6.0,1.0,2,Octahedron
mp-1019546,BaY4Si5O17,2.0068730777728687,0.4207140385206429,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Y,0.0,True,2.0,6.0,2.2385531430622527,2.3604767359020555,2.2928677321297743,0.04372676268253506,0.12192359283980281,82.12123955723122,36.41204923490971,19.415371285787366,161.0207362401312,6.0,1.0,1,Octahedron
mp-1019546,BaY4Si5O17,2.0068730777728687,0.4207140385206429,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Y,0.0,True,3.0,6.0,2.2385531430622514,2.360476735902057,2.2928677321297735,0.04372676268253509,0.12192359283980547,59.99585744401813,28.92100388019616,8.81511602137224,93.45032160959711,6.0,1.0,2,Octahedron
