material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Y_wyckoff,num_Y_chemenvs,CN,element,charge_range,is_single_charge
mp-1048385,YMn3Se2ClO8,1.8331631956975407,0.6555452081682306,[8.0],3.0,3.0,3.0,Cube,2a,1,8.0,Y,0.0,True
mp-1078392,YSb(PbO3)2,2.224309727855674,0.052364467423173,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Y,0.0,True
mp-1080719,Sr2YTaO6,2.2842673195298433,-0.0883364905677311,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Y,0.0,True
mp-1096960,CsY(MoO4)2,1.8522302656392975,0.5560649045540568,[8.0],3.0,3.0,3.0,Square antiprism,2e,1,8.0,Y,0.0,True
mp-1100878,YNO4,1.970737285590285,0.4365381442082111,[8.0],3.0,3.0,3.0,Square antiprism,4c,1,8.0,Y,0.0,True
mp-1100882,Y7Ta3O18,1.9683274748191129,0.4587800013283175,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism","1e, 1f, 2i",3,7.0,Y,0.0,True
mp-1100882,Y7Ta3O18,1.9683274748191129,0.4587800013283175,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism","1e, 1f, 2i",3,8.0,Y,0.0,True
mp-1100937,Y10Ta4O25,1.916438418801809,0.5370351689239468,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Face-capped octahedron","1b, 1a",2,7.0,Y,0.0,True
mp-1100937,Y10Ta4O25,1.916438418801809,0.5370351689239468,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Face-capped octahedron","1b, 1a",2,8.0,Y,0.0,True
mp-1101177,Y2Hf2O7,2.284706130815242,0.0863442609026537,[6.0],3.0,3.0,3.0,Octahedron,2g,1,6.0,Y,0.0,True
mp-1101181,Y11Ta5O28,1.946261479667958,0.476593954076844,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Face-capped octahedron, Hexagonal bipyramid","2g, 2f, 2i, 1c",3,7.0,Y,0.0,True
mp-1101181,Y11Ta5O28,1.946261479667958,0.476593954076844,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Face-capped octahedron, Hexagonal bipyramid","2g, 2f, 2i, 1c",3,8.0,Y,0.0,True
mp-1101793,YSeO3F,2.0759111964644066,0.3181047482787847,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,2e,1,5.0,Y,0.0,True
mp-1105335,KYMnWO6,2.4663396164370157,-0.0039310204374702,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,Y,0.0,True
mp-1105374,RbYMnWO6,3.683926584473761,-1.2331878659580482,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,Y,0.0,True
mp-1105401,NaYMnWO6,3.5761563151655715,-1.1409220430517617,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,2a,1,8.0,Y,0.0,True
mp-1105409,YSb(PbO3)2,2.265358248428768,0.0053079265397791,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Y,0.0,True
mp-1106099,Y2MnCrO6,1.1349685328193464,1.453262027638654,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Y,0.0,True
mp-11321,Y3TaO7,2.19305703020754,0.1955659432717705,"[6.0, 7.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid","2a, 4c",2,6.0,Y,0.0,True
mp-11321,Y3TaO7,2.19305703020754,0.1955659432717705,"[6.0, 7.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid","2a, 4c",2,7.0,Y,0.0,True
mp-1173193,Sr8Y4Cu11CO28,2.3487989150855544,0.0610400238641279,[8.0],3.0,3.0,3.0,Cube,2e,1,8.0,Y,0.0,True
mp-1173246,Sr2Y4Fe2Cu2O13,2.1156354627108684,0.2897288987876035,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,2i,1,7.0,Y,0.0,True
mp-1178475,Cs5YO4,2.2061600733032827,-0.1687259206656207,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Y,0.0,True
mp-1178535,Ba3Y2O6,1.842689618828338,0.7414354599836865,[5.0],3.0,3.0,3.0,Square pyramid,2e,1,5.0,Y,0.0,True
mp-1178731,YB6(HO4)3,3.379980160273452,-0.8861326694616573,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),2a,1,9.0,Y,0.0,True
mp-1178771,YCu(WO4)2,2.295418620239521,0.014156168356868,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Y,0.0,True
mp-1180560,NaY(C2O5)2,1.8968211127191403,0.5134331307205247,[7.0],3.0,3.0,3.0,Pentagonal bipyramid,2a,1,7.0,Y,0.0,True
mp-1182635,Ba8CaY2U4O24,1.2470784451927757,1.4545279508821936,[6.0],3.0,3.0,3.0,Octahedron,8A,1,6.0,Y,0.0,True
mp-1189214,Y2MnCrO6,0.9313584555496044,1.6938263596581271,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Y,0.0,True
mp-1189894,Y2MnCoO6,1.0662679489558466,1.4885947745731645,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Y,0.0,True
mp-1190208,Y2CuTe2(SO7)2,2.1432069821952267,0.2867962445404715,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,2i,1,8.0,Y,0.0,True
mp-1190417,YV(SeO4)2,2.2450442818415755,0.1392675179552025,[8.0],3.0,3.0,3.0,no_data,no_data,1,8.0,Y,0.0,True
mp-1190505,Y2CoTe2(SO7)2,2.215150844539046,0.2143903598267622,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,8i,1,8.0,Y,0.0,True
mp-1190839,YMo2O7F,2.318822919980005,0.0306209462720751,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,2e,1,5.0,Y,0.0,True
mp-1190968,Y3TaO7,1.9949556129860015,0.4217956127466276,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid","4g, 2b",2,7.0,Y,0.0,True
mp-1190968,Y3TaO7,1.9949556129860015,0.4217956127466276,"[7.0, 8.0]",3.0,3.0,3.0,"Cube, Pentagonal bipyramid","4g, 2b",2,8.0,Y,0.0,True
mp-1191022,CsY(MoO4)2,1.692842841400547,0.7253556806359848,[8.0],3.0,3.0,3.0,Square antiprism,2e,1,8.0,Y,0.0,True
mp-1191085,LiY(WO4)2,2.288540686340308,0.0058179576175174,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Y,0.0,True
mp-1191749,Y2Ir2O7,1.7992242388824653,0.5857830537717625,[8.0],3.0,3.0,3.0,Cube,4d,1,8.0,Y,0.0,True
mp-1192369,BaYZn3GaO7,1.7410109798407132,0.7858619597049895,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Y,0.0,True
mp-1192423,BaYCo4O7,2.2109706685719863,0.1116293892977881,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Y,0.0,True
mp-1192505,YWBrO4,2.083596828689246,0.2654234813895335,"[4.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,4.0,Y,0.0,True
mp-1192505,YWBrO4,2.083596828689246,0.2654234813895335,"[4.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,6.0,Y,0.0,True
mp-1192654,Y3VH3O8,2.3381777728929554,0.0890788780303461,"[7.0, 8.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism","4f, 2e",2,7.0,Y,0.0,True
mp-1192654,Y3VH3O8,2.3381777728929554,0.0890788780303461,"[7.0, 8.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism","4f, 2e",2,8.0,Y,0.0,True
mp-1193084,BaY2Si2O7F2,1.9026486543983985,0.5532377980470952,"[4.0, 7.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,4.0,Y,0.0,True
mp-1193084,BaY2Si2O7F2,1.9026486543983985,0.5532377980470952,"[4.0, 7.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2i,2,7.0,Y,0.0,True
mp-1194048,BaYCo4O7,1.8459802199327071,0.6260811953187825,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Y,0.0,True
mp-1194479,Na3Y(CO3)3,2.7173244028561867,-0.2849570402723979,[9.0],3.0,3.0,3.0,Square-face monocapped antiprism,2b,1,9.0,Y,0.0,True
mp-1194569,KY(SeO3)2,2.123799275468107,0.2300665862090733,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1194587,Na2Y2B2TeO10,1.4995742164259098,1.0442719695599147,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Y,0.0,True
mp-1194598,Y2Mn(Si3O7)4,1.9424584467377437,0.4920221863602592,[8.0],3.0,3.0,3.0,Square antiprism,4g,1,8.0,Y,0.0,True
mp-1194612,YNb(TeO4)2,2.135141709629246,0.2951224868941036,[8.0],3.0,3.0,3.0,Square antiprism,4d,1,8.0,Y,0.0,True
mp-1194618,Ba4Y2Fe2O11,1.7029299673160256,0.8223278469036508,[6.0],3.0,3.0,3.0,Octahedron,"2b, 2a",1,6.0,Y,0.0,True
mp-1194706,RbY(TeO3)2,2.1671338016415063,0.1809036911286373,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1194980,KY(TeO3)2,2.178346215897439,0.1554959558359706,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1195207,BaYFeO4,2.2115874768475026,0.1853507355474536,[7.0],3.0,3.0,3.0,no_data,no_data,1,7.0,Y,0.0,True
mp-1195227,NaY(Te2O5)2,2.3317203065777106,0.0526424086756651,[8.0],3.0,3.0,3.0,Square antiprism,4a,1,8.0,Y,0.0,True
mp-1195500,RbY(SeO3)2,2.089444261324799,0.2873707448011128,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1195556,K5Y2Si4O13F,1.9847068621581567,0.3863844145634799,[5.0],3.0,3.0,3.0,Octahedron,2e,1,5.0,Y,0.0,True
mp-1195810,YAg(IO3)4,2.3948096245228627,0.0089594011387879,[8.0],3.0,3.0,3.0,Square antiprism,2a,1,8.0,Y,0.0,True
mp-1196872,Ba6Y2Co4O15,2.9969852929234544,-1.074079243187022,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Y,0.0,True
mp-1196983,Ba2Y3Si2O8F5,1.9080345461630437,0.4935991084351969,"[3.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism","2a, 4c",2,3.0,Y,0.0,True
mp-1196983,Ba2Y3Si2O8F5,1.9080345461630437,0.4935991084351969,"[3.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism","2a, 4c",2,6.0,Y,0.0,True
mp-1197762,Na2Y3Te4(ClO4)3,2.240532081766504,0.1756923148420291,[8.0],3.0,3.0,3.0,"Cube, Square antiprism","4f, 2e",2,8.0,Y,0.0,True
mp-1198058,Ba6Y2Fe4O15,2.7052664784289275,-0.6387401036331944,[6.0],3.0,3.0,3.0,Octahedron,4g,1,6.0,Y,0.0,True
mp-1198649,K9Y3Si12(O16F)2,1.8210516579846232,0.6767824699916332,[6.0],3.0,3.0,3.0,Octahedron,"1b, 2i",1,6.0,Y,0.0,True
mp-1198660,Y2(MoO4)3,2.0750423381009844,0.3093771744147649,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Y,0.0,True
mp-1199104,Ba5Y8Mn4O21,2.9396207845484095,-0.6264705442667592,[7.0],3.0,3.0,3.0,no_data,no_data,1,7.0,Y,0.0,True
mp-1200205,Y4Si3O11F2,1.843614264207441,0.6373242209043258,"[5.0, 6.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism",2i,2,5.0,Y,0.0,True
mp-1200205,Y4Si3O11F2,1.843614264207441,0.6373242209043258,"[5.0, 6.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism",2i,2,6.0,Y,0.0,True
mp-1200205,Y4Si3O11F2,1.843614264207441,0.6373242209043258,"[5.0, 6.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism",2i,2,6.0,Y,0.0,True
mp-1201353,PrYSi2O7,1.5330049342939784,0.9870538694712698,[8.0],3.0,3.0,3.0,Cube,4e,1,8.0,Y,0.0,True
