CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,2,2,1.903862574987784,0.7000051450660132,3.0
1.0,3,2,3.4262688136363333,-1.044775825391413,3.0
2.0,8,8,1.9783412601053585,0.47936512306930845,3.0
3.0,12,11,2.1470347003125148,0.25356231397549306,3.0
4.0,27,23,2.0410310556811178,0.3288056886499866,3.0
5.0,16,15,2.0379039079627295,0.37242225167661225,3.0
6.0,329,325,2.037149738419317,0.32679750052962986,3.0
7.0,123,123,2.0110625228699095,0.4227931759618265,3.0
8.0,260,250,1.9362938250454085,0.5083347965035592,3.0
9.0,19,19,2.0781659610597853,0.35395003507551304,3.0
10.0,6,6,1.6252151367044023,0.7509255951933941,3.0
11.0,1,1,3.024291642741814,-0.2833452007844667,3.0
12.0,2,2,2.8444669072593687,-0.17514320150072193,3.0
