CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,20,3,2.310906049031344,2.310906049031344,0.0,1.0
2.0,167,13,2.282998740352726,2.306867820639688,0.023869080286962278,1.0
3.0,324,86,2.2712715500259537,2.330155581328311,0.057850996309644714,0.9178403755868545
4.0,661,98,2.298830502304794,2.4420703366168293,0.1536798322674926,0.97339593114241
5.0,634,126,2.2868538916175276,2.5480293890190455,0.22443141413343093,0.9935587761674718
6.0,848,197,2.3374650917447064,2.5767563006147234,0.19261003458928025,0.9918995544754962
7.0,594,133,2.387312854487564,2.6764718537618,0.200806554214786,1.0
8.0,476,146,2.467636537977048,2.7239549101576386,0.18764337984655952,1.0
9.0,294,88,2.5064655339693656,2.7799595861322994,0.20529763685296404,1.0
10.0,123,40,2.5685478456023043,2.8247470719220438,0.17970517592209245,1.0
11.0,11,9,2.463110610562007,2.834940109313631,0.23209346992566188,1.0
12.0,54,28,2.7228347584442094,2.844821844202176,0.08323316579440293,1.0
