CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,Triangular non-coplanar,8,1,2.305821893282752,2.305821893282752,0.0,1.0,0.4
2.0,"Triangular non-coplanar, Square non-coplanar, See-saw",84,4,2.259138437953049,2.2628743833733864,0.003735945420337126,1.0,0.5029940119760479
3.0,Triangular non-coplanar,79,14,2.1868680324935306,2.220422646717331,0.02658208345225884,0.6969696969696969,0.24382716049382716
4.0,"Triangular non-coplanar, Square non-coplanar, See-saw",80,5,2.32569177606729,2.4447730038775584,0.12619531361340658,1.0,0.12102874432677761
5.0,Square pyramid,60,22,2.1612922899233307,2.439626877887918,0.15209275215444784,0.9433333333333334,0.0946372239747634
6.0,Octahedron,145,41,2.2703798092566916,2.379576523753337,0.08896336660298224,0.9537037037037037,0.17099056603773585
7.0,Face-capped octahedron,83,18,2.339263965935524,2.6287888618428616,0.12554863057584076,1.0,0.13973063973063973
8.0,Square antiprism,64,16,2.441561729350426,2.7415745433306236,0.19235727683103632,1.0,0.13445378151260504
9.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",44,15,2.4937208762157828,2.784319253339136,0.2165749861202789,1.0,0.14965986394557823
10.0,Bicapped square prism (adjacent faces),41,11,2.6581766498128863,2.8527636820898135,0.16919956532352398,1.0,0.3333333333333333
11.0,"Diminished icosahedron, Cuboctahedron",4,3,2.4073800682188686,2.8660977004192465,0.2542541903558493,1.0,0.36363636363636365
12.0,Cuboctahedron,31,10,2.7698208351188685,2.8418321013105463,0.05460338986592473,1.0,0.5740740740740741
