material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1100812,Zr4FeBiPb4O15,2.148224432499746,0.4372616391197411,[6.0],2.0,2.0,2.0,"Diminished icosahedron, Square-face bicapped trigonal prism, Cuboctahedron, Square antiprism",2a,4,6.0,Pb,0.0,True,18.0,6.0,2.5259342261582933,2.7050948936791097,2.6162171676569943,0.07453195857976028,0.17916066752081639,88.30262877109385,32.8033339472724,13.644232218380923,139.04888875508777,6.0,1.0,4,"Diminished icosahedron, Square-face bicapped trigonal prism, Cuboctahedron, Square antiprism"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,1.0,4.0,2.3031567467539764,2.3532925575842185,2.3262636991707017,0.02327277214499026,0.0501358108302421,73.23297517510794,44.24987576808526,1.2074182697257333e-06,114.85294488223879,4.0,1.0,1,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,2.0,4.0,2.302907373341395,2.3512595671687504,2.326600438537929,0.023702910742918273,0.04835219382735545,97.16401337313465,43.59214876928834,0.0,124.21838072932003,4.0,1.0,2,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,3.0,4.0,2.3022130131010643,2.350068024442343,2.3256003083506522,0.023399769949497766,0.047855011341278786,97.21280029396341,43.59807940625583,0.0,123.83092419211715,4.0,1.0,3,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,4.0,4.0,2.3029073733413945,2.3512595671687495,2.3266004385379286,0.023702910742918155,0.048352193827355006,97.16401337313465,43.592148769288336,0.0,124.21838072932003,4.0,1.0,4,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,5.0,4.0,2.303156746753976,2.3532925575842194,2.3262636991707,0.023272772144989236,0.05013581083024343,97.10429069632805,43.58741050063006,0.0,124.69975845937422,4.0,1.0,5,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,7.0,4.0,2.3026718591032855,2.3550905278233625,2.327949773630282,0.02531221145306958,0.052418668720076944,97.16286533656888,43.59215990073554,1.2074182697257333e-06,124.23096993884919,4.0,1.0,6,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,8.0,4.0,2.3022891933145275,2.3501937492769196,2.3259953304344885,0.023708692663188306,0.04790455596239207,97.19595910667896,43.59603794329738,0.0,123.96694412285399,4.0,1.0,7,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,9.0,4.0,2.3022081706345396,2.3482394657289447,2.325223818181741,0.0230156475472012,0.04603129509440507,97.21095875421962,43.59785114064975,0.0,123.84598817574826,4.0,1.0,8,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,10.0,4.0,2.3022891933145275,2.3501937492769183,2.325995330434489,0.02370869266318862,0.04790455596239074,97.19595910667896,43.596037943297375,0.0,123.96694412285399,4.0,1.0,9,"Square non-coplanar, Pentagonal pyramid"
