material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1179959,Pb2O3,1.0223610453342002,1.7973129426362848,"[6.0, 8.0]",3.0,3.0,3.0,"Octahedron, Square-face bicapped trigonal prism","2e, 2a",2,6.0,Pb,0.0,True
mp-1179959,Pb2O3,1.0223610453342002,1.7973129426362848,"[6.0, 8.0]",3.0,3.0,3.0,"Octahedron, Square-face bicapped trigonal prism","2e, 2a",2,8.0,Pb,0.0,True
mp-1182634,B9Pb8O21F,2.018181088070484,0.5262464546800297,"[5.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","4c, 12f",2,5.0,Pb,0.0,True
mp-1182634,B9Pb8O21F,2.018181088070484,0.5262464546800297,"[5.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","4c, 12f",2,9.0,Pb,0.0,True
mp-1182647,B10Pb3O20,2.210356232302285,0.3452687970721144,"[6.0, 8.0]",3.33,3.33,3.33,"Hexagonal bipyramid, Square-face capped square prism, Pentagonal bipyramid",2a,3,6.0,Pb,0.0,True
mp-1182647,B10Pb3O20,2.210356232302285,0.3452687970721144,"[6.0, 8.0]",3.33,3.33,3.33,"Hexagonal bipyramid, Square-face capped square prism, Pentagonal bipyramid",2a,3,8.0,Pb,0.0,True
mp-1183871,CoBP2HPbO9,1.9270946054522509,0.5685971382777596,[10.0],2.0,2.0,2.0,Square-face bicapped square antiprism,2i,1,10.0,Pb,0.0,True
mp-1187205,Sr2FeCu(PbO3)2,0.9243411104613688,2.4547108165580847,[4.0],2.0,2.0,2.0,See-saw,4h,1,4.0,Pb,0.0,True
mp-1188623,NaPb2IO6,0.5418888794571624,1.7572342768849043,[8.0],2.0,2.0,2.0,Metabidiminished icosahedron,4e,1,8.0,Pb,0.0,True
mp-1190246,Ir2Pb2O7,2.0442738625210835,0.2670722838060496,[8.0],2.0,2.0,2.0,Cube,4d,1,8.0,Pb,0.0,True
mp-1190321,Zn3P2Pb3WO14,1.7302970876336057,0.7493220064883248,[8.0],2.0,2.0,2.0,Square antiprism,3e,1,8.0,Pb,0.0,True
mp-1190411,V2Zn3TePb3O14,1.3915717191465975,1.0612614149903077,[8.0],2.0,2.0,2.0,Square antiprism,3e,1,8.0,Pb,0.0,True
mp-1190498,Zn3TeP2Pb3O14,1.6623799553208731,0.7785349623204952,[8.0],2.0,2.0,2.0,Square antiprism,3e,1,8.0,Pb,0.0,True
mp-1191155,TiP2PbO8,2.736877252099301,0.0215159730613713,[8.0],2.0,2.0,2.0,Square antiprism,2e,1,8.0,Pb,0.0,True
mp-1191464,UTe(PbO4)2,3.4152644289291323,-0.3922675546142219,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4e,1,7.0,Pb,0.0,True
mp-1191652,CuH2PbSO6,1.2915970422727068,1.1118729035059538,[8.0],2.0,2.0,2.0,Bicapped octahedron (cap faces with one atom in common),2e,1,8.0,Pb,0.0,True
mp-1192209,As3Pb2BrO6,2.153626558590183,0.3642493611131236,"[3.0, 8.0]",2.0,2.0,2.0,"Square-face capped square prism, Square pyramid",2e,2,3.0,Pb,0.0,True
mp-1192209,As3Pb2BrO6,2.153626558590183,0.3642493611131236,"[3.0, 8.0]",2.0,2.0,2.0,"Square-face capped square prism, Square pyramid",2e,2,8.0,Pb,0.0,True
mp-1192249,Mn3TeP2Pb3O14,1.4570604948682333,0.9918062508143926,[8.0],2.0,2.0,2.0,Square antiprism,6f,1,8.0,Pb,0.0,True
mp-1192336,Nb2PbO6,2.4197580464792448,0.17568212279563,"[12.0, 3.0]",2.0,2.0,2.0,"Triangular non-coplanar, Cuboctahedron","1a, 2c",2,12.0,Pb,0.0,True
mp-1192336,Nb2PbO6,2.4197580464792448,0.17568212279563,"[12.0, 3.0]",2.0,2.0,2.0,"Triangular non-coplanar, Cuboctahedron","1a, 2c",2,3.0,Pb,0.0,True
mp-1192421,B2Pb2O5,1.9836991952733047,0.5392041203867318,"[3.0, 4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",1a,5,3.0,Pb,0.0,True
mp-1192421,B2Pb2O5,1.9836991952733047,0.5392041203867318,"[3.0, 4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",1a,5,4.0,Pb,0.0,True
mp-1192421,B2Pb2O5,1.9836991952733047,0.5392041203867318,"[3.0, 4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",1a,5,5.0,Pb,0.0,True
