CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
3.0,31,31,5.225806451612903,1.7419354838709675,s_avg > 1,4+:0.3226; 5+:0.1290; 6+:0.5484
4.0,1703,1702,5.997651203758074,1.4994128009395185,s_avg > 1,4+:0.0006; 5+:0.0012; 6+:0.9982
