CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
2.0,5,5,2.0,1.0,s_avg ≤ 1,2+:1.0000
3.0,12,12,2.0,0.6666666666666666,s_avg ≤ 1,2+:1.0000
4.0,296,296,2.0,0.5,s_avg ≤ 1,2+:1.0000
5.0,137,137,2.0,0.4,s_avg ≤ 1,2+:1.0000
6.0,495,495,2.0,0.3333333333333333,s_avg ≤ 1,2+:1.0000
7.0,1,1,2.0,0.2857142857142857,s_avg ≤ 1,2+:1.0000
8.0,4,4,2.0,0.25,s_avg ≤ 1,2+:1.0000
