material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,4.0,Zn,0.0,True,,,,,,,,,,,,,,0,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,0.0,5.0,1.9482426471202263,2.4588844521180864,2.1101393806497164,0.19626410174299266,0.51064180499786,48.9480391666721,26.582167186584048,20.2619006935392,90.5095530380574,5.0,1.0,1,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,1.0,5.0,1.9482426471202263,2.4588844521180864,2.110139380649717,0.19626410174299247,0.51064180499786,96.0112280381563,31.644750875942638,58.430920414330544,176.87562702292564,5.0,1.0,2,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,2.0,5.0,2.015812182857342,2.9785044193318675,2.2156285336313797,0.38149530956375627,0.9626922364745254,95.35618764715399,32.937851671297885,57.839486138872566,177.35082529303253,5.0,1.0,3,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,3.0,5.0,2.013487289706449,2.9492437160267504,2.2051591981622165,0.3720865243654094,0.9357564263203013,105.74922849549289,28.87255258372034,73.58627156197163,178.05310099562692,5.0,1.0,4,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,4.0,5.0,1.9421690847981974,2.4802938291890038,2.1110476647898997,0.20700593206371468,0.5381247443908064,107.3743759620497,27.127030558413093,82.5513102979142,177.38892716289382,5.0,1.0,5,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,5.0,5.0,1.9421690847981967,2.4802938291890038,2.1110476647898997,0.20700593206371468,0.538124744390807,107.37437596204968,27.12703055841301,82.55131029791426,177.38892716289354,5.0,1.0,6,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,6.0,5.0,2.0134872897064495,2.9492437160267504,2.205159198162216,0.37208652436540934,0.9357564263203009,105.74922849549289,28.872552583720328,73.58627156197166,178.05310099562692,5.0,1.0,7,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,7.0,5.0,2.015812182857344,2.9785044193318653,2.2156285336313792,0.38149530956375555,0.9626922364745214,95.35618764715397,32.937851671297885,57.83948613887255,177.35082529303253,5.0,1.0,8,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,8.0,5.0,1.9482426471202277,2.458884452118088,2.110139380649717,0.1962641017429929,0.5106418049978605,96.0112280381563,31.64475087594261,58.430920414330544,176.87562702292553,5.0,1.0,9,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,9.0,5.0,2.015812182857342,2.9785044193318675,2.2156285336313792,0.3814953095637565,0.9626922364745254,71.27618316573452,34.08132687272963,20.26894231079164,114.67568752129853,5.0,1.0,10,"Tetrahedron, Trigonal bipyramid"
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True,10.0,5.0,2.015812182857344,2.9785044193318653,2.215628533631379,0.38149530956375566,0.9626922364745214,71.27618316573452,34.08132687272961,20.26894231079164,114.6756875212985,5.0,1.0,11,"Tetrahedron, Trigonal bipyramid"
