CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,9,5,2.4367622572607863,-1.248442926431868,2.314814814814815
1.0,15,10,2.2330694186769717,-0.7725523072546264,2.372222222222222
2.0,7,6,1.8345331989474862,0.2478060030043135,2.1547619047619047
3.0,17,17,1.583096505228811,0.6000891196999888,2.107647058823529
4.0,271,235,1.7900089313174063,0.3615140169432019,2.594710947109471
5.0,129,119,1.8457702151017665,0.2713091985739634,2.378552971576227
6.0,1127,948,1.8578479731904232,0.22128654832893851,2.735634427684117
7.0,3,3,2.095824253260274,0.09784731426940753,2.6666666666666665
8.0,3,3,1.7705648101775646,0.35632764680613754,2.0
