element,CN,n_points,beta,beta0,method
Sc,4.0,11,-2.0683913792790696,4.3233885037197926,OLS
Sc,5.0,9,-1.8587096353413646,3.935400504662647,OLS
Sc,6.0,392,-1.432484393172631,3.0291831539257474,OLS
Sc,7.0,23,-1.3106479744430728,2.8450424806387256,OLS
Sc,8.0,12,-1.1621244122726582,2.583476994446941,OLS
Ti,1.0,11,-2.369040832268302,4.587960563240146,OLS
Ti,2.0,17,-2.4260374111218628,4.6884500758653065,OLS
Ti,3.0,18,-2.109519634993295,4.202703682456525,OLS
Ti,4.0,70,-3.1306087338703654,6.173195820591486,OLS
Ti,5.0,126,-4.154326327613766,8.04222291147167,OLS
Ti,6.0,1561,-2.3150352194503556,4.642192958292004,OLS
Ti,7.0,5,-3.0518590958223024,5.931989960553141,OLS
V,1.0,128,-0.958773235755016,2.559450696830747,OLS
V,2.0,90,-0.664295635365276,1.9638985987487503,OLS
V,3.0,70,1.0265532371365047,-1.3944595718485917,OLS
V,4.0,752,2.600839954744607,-4.3537571008222065,OLS
V,5.0,379,-2.3953750436353975,4.84186101883167,OLS
V,6.0,1587,-1.6747063440759218,3.423940654256485,OLS
V,7.0,5,-1.627184053209757,3.443327850741408,OLS
Cr,1.0,14,3.887332802918299,-7.036204019538805,OLS
Cr,3.0,9,-0.7776457634090943,1.6020879622406348,OLS
Cr,4.0,241,1.635525636600972,-2.657003351799242,OLS
Cr,5.0,51,-1.1119548764235139,2.404717752227166,OLS
Cr,6.0,719,-1.1603413862459457,2.395980371259494,OLS
Mn,1.0,58,-2.2770548022394363,4.531247221301155,OLS
Mn,2.0,36,-1.565461076566959,3.174451981160976,OLS
Mn,3.0,8,-1.1446928368031062,2.4496384421506234,OLS
Mn,4.0,255,-1.062334392431763,2.271696759877739,OLS
Mn,5.0,668,-1.2583630517980748,2.6408904197719107,OLS
Mn,6.0,3119,-1.275417341118167,2.672908320172484,OLS
Mn,7.0,10,-0.8381441256606188,1.9473733443821826,OLS
Mn,8.0,34,-0.8081717768863959,1.8635602871666195,OLS
Fe,1.0,23,-1.8269906528535143,3.679905288441521,OLS
Fe,2.0,21,-1.6065035328906367,3.2692366468707346,OLS
Fe,3.0,23,-2.3778956547946075,4.592387893591524,OLS
Fe,4.0,355,-1.629243664778273,3.271079833991868,OLS
Fe,5.0,446,-1.4176707458836344,2.810871660504329,OLS
Fe,6.0,1660,-1.2315732917735267,2.5736460353945043,OLS
Co,1.0,15,-2.446686398765021,4.691068266920432,OLS
Co,2.0,7,-2.428835635036657,4.703585610265762,OLS
Co,3.0,17,-2.6883337709933426,4.8559809174481385,OLS
Co,4.0,271,-2.379713948803133,4.621223239281424,OLS
Co,5.0,129,-1.5588349003057174,3.14856022781939,OLS
Co,6.0,1127,-1.2531167641975438,2.549386988864285,OLS
Ni,1.0,11,-2.5729221485170557,5.052315271926817,OLS
Ni,4.0,61,-1.905199767697169,3.7743219107802597,OLS
Ni,5.0,80,-1.1963652134531428,2.446987441907249,OLS
Ni,6.0,1192,-1.1350325025593262,2.3308263528157576,OLS
Cu,1.0,5,-0.8793331763613234,1.7194648163036965,OLS
Cu,2.0,82,-1.3048981542088522,2.5668827476625546,OLS
Cu,3.0,75,-0.9618988257093762,1.9935377636052125,OLS
Cu,4.0,597,-1.132248976142506,2.2832309435554623,OLS
Cu,5.0,471,-1.1385070126772145,2.34612421833806,OLS
Cu,6.0,507,-0.8910284767060406,1.9191297360824462,OLS
Zn,2.0,5,-0.829537190634336,1.6933035190527121,OLS
Zn,3.0,12,-2.2634881280969434,4.355901470820312,OLS
Zn,4.0,296,-1.3657459126406128,2.7370164977187357,OLS
Zn,5.0,137,-1.1065862770216803,2.307020090847052,OLS
Zn,6.0,495,-0.9226974576960655,1.9592683864367713,OLS
Y,2.0,8,-2.3050329722921803,5.039506958058221,OLS
Y,3.0,12,-1.0214591808472337,2.4466706202073003,OLS
Y,4.0,27,-1.18950164933454,2.756615495725693,OLS
Y,5.0,16,-1.462823400108052,3.353515775416138,OLS
Y,6.0,329,-1.40281507863494,3.1845418710214712,OLS
Y,7.0,123,-1.1624289570528954,2.76051048698966,OLS
Y,8.0,260,-1.0989391595963558,2.6362039053305737,OLS
Y,9.0,19,-0.9439315367304736,2.3155964242796374,OLS
Y,10.0,6,-0.8529996511222,2.137233539800768,OLS
Zr,1.0,24,-1.1704339250737066,2.678701655938597,OLS
Zr,2.0,25,-1.3722578620722414,3.093054855499635,OLS
Zr,3.0,29,-1.6217774794157862,3.5629334455918964,OLS
Zr,4.0,17,-1.5128123103979143,3.348831322915723,OLS
Zr,5.0,13,-4.191301960811117,8.739640082979667,OLS
Zr,6.0,500,-2.4910633477721986,5.254848762436612,OLS
Zr,7.0,51,-1.966740137650592,4.269600984107297,OLS
Zr,8.0,17,-1.5806540088978611,3.513871820807271,OLS
Nb,1.0,7,-1.4221785008337,3.049986916128904,OLS
Nb,2.0,6,-3.9289391707176025,8.161304895779669,OLS
Nb,3.0,10,-5.336274482408931,10.856588859518695,OLS
Nb,4.0,60,-2.40978469727014,5.16823454117701,OLS
Nb,5.0,83,-2.3170277408758007,4.8931266571299465,OLS
Nb,6.0,1206,-5.167366492923898,10.531031673123131,OLS
Nb,7.0,23,-2.74450529971342,5.852266310329685,OLS
Nb,8.0,5,-1.9621436128412402,4.18547291035109,OLS
Mo,4.0,529,2.437656289891127,-4.368368052780581,OLS
Mo,5.0,111,4.564135790149432,-8.569625183955411,OLS
Mo,6.0,667,-0.8843143440792126,2.2148435915351534,OLS
Mo,7.0,5,-2.5983018770858335,5.388748325578393,OLS
Ru,4.0,7,2.457809188091909,-4.380605980791474,OLS
Ru,5.0,7,-0.5514417998334303,1.8274626181114233,OLS
Ru,6.0,300,-3.5619007154746023,7.206671233918296,OLS
Rh,6.0,94,-2.156733751822656,4.38665520160061,OLS
Pd,4.0,46,-1.4369496098379848,2.927469121405419,OLS
Pd,6.0,14,-1.2270412970836273,2.623087520379356,OLS
Ag,2.0,49,-0.7349603002620458,1.7807858193884183,OLS
Ag,3.0,50,-0.9921894209879134,2.330065760357275,OLS
Ag,4.0,88,-0.7366696544744162,1.7958437653569272,OLS
Ag,5.0,44,-0.618694492521953,1.5829614617856256,OLS
Ag,6.0,86,-0.5726312038891306,1.479568225835206,OLS
Ag,7.0,22,-0.553839732128872,1.4655804654384357,OLS
Ag,8.0,34,-0.47585486601469046,1.292230449473677,OLS
Cd,4.0,28,-1.3787225418205133,3.116097607772448,OLS
Cd,5.0,27,-1.0873946477508882,2.530363021539283,OLS
Cd,6.0,170,-0.9040325653210345,2.125628566583018,OLS
Cd,7.0,21,-0.8230180544084214,2.0209262211600407,OLS
Cd,8.0,32,-0.8024994206616146,1.9488565467581263,OLS
La,1.0,25,-1.0748503874294313,2.6939358689967934,OLS
La,2.0,8,-0.9402267587409378,2.401183252119823,OLS
La,3.0,24,-1.4558614518057904,3.5816977849081937,OLS
La,4.0,28,-1.5435162913501286,3.7560667248283255,OLS
La,5.0,30,-1.464835786733137,3.5978379991657086,OLS
La,6.0,136,-1.180681397560704,2.931081173221698,OLS
La,7.0,154,-1.1632414639996684,2.9584086901580875,OLS
La,8.0,414,-1.0771429701158877,2.7646932813866294,OLS
La,9.0,226,-0.8970947073176345,2.3730369711728874,OLS
La,10.0,64,-0.8103949752332036,2.186287838561274,OLS
La,11.0,25,-0.7539025892358818,2.0581272705122067,OLS
La,12.0,111,-0.7289146332144736,1.9970728604889971,OLS
Hf,1.0,33,-1.4599113925203229,3.2065193910087486,OLS
Hf,2.0,34,-1.4596599683789588,3.2062255952873358,OLS
Hf,3.0,36,-1.4758067269796382,3.239647155369241,OLS
Hf,4.0,16,-1.755688063380326,3.7676499152156544,OLS
Hf,5.0,7,-4.555591708080315,9.258525213295327,OLS
Hf,6.0,356,-2.481288306910006,5.146933427876917,OLS
Hf,7.0,15,-1.8942651164973785,4.084338646744245,OLS
Hf,8.0,7,-1.7336403372962235,3.7747415723360724,OLS
Ta,1.0,6,-3.564312215161139,6.714979362395031,OLS
Ta,2.0,7,-3.5942773929515117,7.466429323476678,OLS
Ta,3.0,5,-3.92886509428361,8.216487876400086,OLS
Ta,4.0,17,-4.303326778741141,8.75330298565833,OLS
Ta,5.0,30,-3.772014398359131,7.541238799997321,OLS
Ta,6.0,928,-5.577813379608939,11.177943979835266,OLS
Ta,7.0,49,-3.9054235273301003,7.994030531671529,OLS
Ta,8.0,6,-1.7188585598249597,3.7739277765446193,OLS
W,4.0,94,2.3786274055959145,-4.277206479761169,OLS
W,5.0,48,4.415666300804044,-8.22860621668449,OLS
W,6.0,790,0.5771953680530957,-0.6353563736496798,OLS
W,7.0,10,-0.4684908369550221,1.1726908207596656,OLS
Re,4.0,64,1.7320465180261189,-3.041501490320471,OLS
Re,5.0,12,2.9773505011650614,-5.484400467075577,OLS
Re,6.0,96,1.3785608645493457,-2.201747227424456,OLS
Os,6.0,7,-2.482631650594055,4.904948234706997,OLS
Ir,6.0,133,-2.9030853867056634,5.890749555094764,OLS
Pt,4.0,19,-1.311607045891732,2.6932341730873164,OLS
Pt,5.0,7,-1.1863608829333865,2.6171402965158164,OLS
Pt,6.0,56,-2.492038546258124,5.097130700106168,OLS
Au,2.0,7,-1.8589092349644936,3.8123721284041445,OLS
Au,3.0,7,-1.8589092349644936,3.8123721284041445,OLS
Au,4.0,37,-3.414880129408033,6.94935073107629,OLS
Hg,1.0,20,-0.8534508854705481,2.337186294071622,OLS
Hg,2.0,38,-1.4207656933923691,3.3765741354852583,OLS
Hg,3.0,35,-1.3445757962304234,3.320381888060162,OLS
Hg,4.0,34,-1.379997735769787,3.3665326711356935,OLS
Hg,5.0,15,-0.7740476464572021,1.996873172753532,OLS
Hg,6.0,28,-0.8734812933754803,2.1960167075789574,OLS
Hg,7.0,12,-0.7902026738927771,2.0676329034963032,OLS
Hg,8.0,7,-0.7336211680293816,1.8736060375510037,OLS
Sc,4.0,11,-2.28756204112062,4.756302150552386,Huber
Sc,5.0,9,-1.9095716260751983,4.015174732680745,Huber
Sc,6.0,392,-1.4299932902614718,3.0234074114693232,Huber
Sc,7.0,23,-1.3067142282900217,2.838598603353179,Huber
Sc,8.0,12,-1.1821069488876306,2.602583749674527,Huber
Ti,1.0,11,-2.3984816413550596,4.654348953059622,Huber
Ti,2.0,17,-2.4273617046216702,4.694343759313631,Huber
Ti,3.0,18,-2.106255341260939,4.222038363484052,Huber
Ti,4.0,70,-2.8581892602524963,5.669671219766576,Huber
Ti,5.0,126,-4.4212650838445295,8.493320350991008,Huber
Ti,6.0,1561,-2.461706085572719,4.89335777955923,Huber
Ti,7.0,5,-3.0504019595522327,5.92547780453951,Huber
V,1.0,128,-1.1775281599950516,2.855211417806595,Huber
V,2.0,90,-0.861904269286507,2.1978791060177163,Huber
V,3.0,70,0.17274671418092824,0.15023307241790596,Huber
V,4.0,752,4.0998866930671785,-7.112544523642438,Huber
V,5.0,379,-2.0577630209638165,4.166010635058086,Huber
V,6.0,1587,-1.5422186050260511,3.1520951535774757,Huber
V,7.0,5,-1.6271840604372054,3.443327840320896,Huber
Cr,1.0,14,0.3005383784408336,-0.5418030023503024,Huber
